iter	Passed	Remaining
0	0	63
1	1	58
2	1	55
3	2	51
4	2	51
5	3	50
6	3	49
7	4	49
8	4	48
9	5	47
10	5	47
11	6	46
12	6	46
13	7	45
14	7	44
15	8	44
16	8	43
17	9	43
18	10	42
19	10	42
20	11	41
21	11	41
22	12	40
23	12	39
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	35
33	17	34
34	18	34
35	18	33
36	19	33
37	19	32
38	20	32
39	21	31
40	21	30
41	21	30
42	22	29
43	22	29
44	23	28
45	23	27
46	24	27
47	24	26
48	25	26
49	25	25
50	26	25
51	27	24
52	27	24
53	28	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	31	20
60	31	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	37	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	10
81	43	9
82	43	8
83	44	8
84	44	7
85	45	7
86	45	6
87	46	6
88	47	5
89	47	5
90	48	4
91	48	4
92	49	3
93	49	3
94	50	2
95	50	2
96	51	1
97	52	1
98	52	0
99	53	0
